,index,IV
0,Amount,0.012083063162635046
1,Time,0.05588791357290197
2,V1,0.8433617209789235
3,V10,0.9712980219088028
4,V11,1.7135157962016088
5,V12,2.353143574407016
6,V13,0.00010835471326523069
7,V14,1.3838003064243685
8,V15,0.010448553142986601
9,V16,0.591921846029971
10,V17,0.40510121095664
11,V18,0.2521363583741436
12,V19,0.16006704962285503
13,V2,0.7678456351324737
14,V20,0.13259882974441004
15,V21,0.3309050375864135
16,V22,0.0015667440029543491
17,V23,0.014156416057447243
18,V24,0.07804479360025314
19,V25,0.009611699292272027
20,V26,0.02438074857780832
21,V27,0.22004050258763402
22,V28,0.11095694996546893
23,V3,1.989134295006052
24,V4,3.2610447004242675
25,V5,0.2029042422952541
26,V6,0.5831158591436709
27,V7,0.565191654525645
28,V8,0.16006704962285503
29,V9,1.5569406259383602
