,index,Extratrees
0,Amount,0.015230591661507614
1,Time,0.01395602622162794
2,V1,0.015263064057180697
3,V10,0.04470634208204334
4,V11,0.03983966236059057
5,V12,0.07983309616939564
6,V13,0.014645977240326385
7,V14,0.13778153529902012
8,V15,0.009760839704122334
9,V16,0.10100437480659083
10,V17,0.15450651810746632
11,V18,0.07275582164683506
12,V19,0.013647369643549559
13,V2,0.012627543294112082
14,V20,0.011127889529148671
15,V21,0.02264782074767903
16,V22,0.01593026210259333
17,V23,0.006995457553407293
18,V24,0.013000149528957287
19,V25,0.0101281136178269
20,V26,0.01439662272593133
21,V27,0.011666947617041921
22,V28,0.01430454158781155
23,V3,0.026756143526652794
24,V4,0.025888142282366095
25,V5,0.010204085711013422
26,V6,0.022470516368524353
27,V7,0.023331791246221707
28,V8,0.013487609513489257
29,V9,0.03210514404696652
