,index,Chi_Square
1,Time,939165.5108038685
10,V17,41532.387581454816
7,V14,30883.538319673873
5,V12,21739.586133504185
3,V10,18580.489060626405
27,V7,18308.44508395429
23,V3,15832.809281915235
9,V16,11147.529393746101
28,V8,7439.188358876866
0,Amount,6036.4501073863785
24,V4,5739.8901783443935
4,V11,5588.703661245843
25,V5,5361.262908008355
2,V1,4999.299259534286
13,V2,4884.958674565802
11,V18,3482.292137063041
15,V21,2897.130644680857
29,V9,2317.9903218814934
21,V27,1486.8945209029523
26,V6,497.4103083275931
12,V19,448.12732083303797
14,V20,387.76193344268916
17,V23,361.7968440717565
22,V28,302.26564964817874
16,V22,64.20099609782439
19,V25,34.43351572420227
6,V13,10.741665454553623
8,V15,4.597119455060887
18,V24,2.116084922405399
20,V26,0.05814585365545051
