,index,IV,RF,RFE,Extratrees,Chi_Square,L1
0,Amount,0.012083063162635046,0.01267529092961253,True,0.015230591661507614,6036.4501073863785,True
1,Time,0.05588791357290197,0.011621399409746337,True,0.01395602622162794,939165.5108038685,False
2,V1,0.8433617209789235,0.01684444181576305,True,0.015263064057180697,4999.299259534286,True
3,V10,0.9712980219088028,0.0789902103200488,True,0.04470634208204334,18580.489060626405,True
4,V11,1.7135157962016088,0.10412952515339466,True,0.03983966236059057,5588.703661245843,True
5,V12,2.353143574407016,0.22541002922559372,True,0.07983309616939564,21739.586133504185,True
6,V13,0.00010835471326523069,0.01190453838871316,True,0.014645977240326385,10.741665454553623,True
7,V14,1.3838003064243685,0.07827735175046877,True,0.13778153529902012,30883.538319673873,True
8,V15,0.010448553142986601,0.00881948422303221,True,0.009760839704122334,4.597119455060887,False
9,V16,0.591921846029971,0.040084615865694735,True,0.10100437480659083,11147.529393746101,True
10,V17,0.40510121095664,0.09258993769782911,True,0.15450651810746632,41532.387581454816,True
11,V18,0.2521363583741436,0.04259936685154541,True,0.07275582164683506,3482.292137063041,True
12,V19,0.16006704962285503,0.011453375257136333,True,0.013647369643549559,448.12732083303797,True
13,V2,0.7678456351324737,0.00969295964485615,True,0.012627543294112082,4884.958674565802,True
14,V20,0.13259882974441004,0.012038718055507651,True,0.011127889529148671,387.76193344268916,True
15,V21,0.3309050375864135,0.009373641585444284,True,0.02264782074767903,2897.130644680857,True
16,V22,0.0015667440029543491,0.010858302206518086,True,0.01593026210259333,64.20099609782439,False
17,V23,0.014156416057447243,0.009436574217524992,True,0.006995457553407293,361.7968440717565,True
18,V24,0.07804479360025314,0.007325234774110199,True,0.013000149528957287,2.116084922405399,False
19,V25,0.009611699292272027,0.007296444216023653,True,0.0101281136178269,34.43351572420227,True
20,V26,0.02438074857780832,0.018271359456527764,True,0.01439662272593133,0.05814585365545051,False
21,V27,0.22004050258763402,0.016614092175178462,True,0.011666947617041921,1486.8945209029523,False
22,V28,0.11095694996546893,0.008181984277918523,True,0.01430454158781155,302.26564964817874,False
23,V3,1.989134295006052,0.01196843219827596,True,0.026756143526652794,15832.809281915235,True
24,V4,3.2610447004242675,0.02056224773716111,True,0.025888142282366095,5739.8901783443935,True
25,V5,0.2029042422952541,0.01023473196291735,True,0.010204085711013422,5361.262908008355,False
26,V6,0.5831158591436709,0.016074750966804528,True,0.022470516368524353,497.4103083275931,False
27,V7,0.565191654525645,0.02947924009809991,True,0.023331791246221707,18308.44508395429,True
28,V8,0.16006704962285503,0.01511417899805443,True,0.013487609513489257,7439.188358876866,True
29,V9,1.5569406259383602,0.05207754054049831,True,0.03210514404696652,2317.9903218814934,True
