,index,IV,RF,Extratrees,Chi_Square,RFE,L1,final_score
5,V12,1,1,1,1,1,1,6
7,V14,0,1,1,1,1,1,5
10,V17,0,1,1,1,1,1,5
3,V10,0,1,0,1,1,1,4
4,V11,1,1,0,0,1,1,4
29,V9,1,0,0,0,1,1,3
24,V4,1,0,0,0,1,1,3
9,V16,0,0,1,0,1,1,3
11,V18,0,0,1,0,1,1,3
23,V3,1,0,0,0,1,1,3
1,Time,0,0,0,1,1,0,2
28,V8,0,0,0,0,1,1,2
27,V7,0,0,0,0,1,1,2
19,V25,0,0,0,0,1,1,2
17,V23,0,0,0,0,1,1,2
0,Amount,0,0,0,0,1,1,2
14,V20,0,0,0,0,1,1,2
13,V2,0,0,0,0,1,1,2
12,V19,0,0,0,0,1,1,2
6,V13,0,0,0,0,1,1,2
2,V1,0,0,0,0,1,1,2
15,V21,0,0,0,0,1,1,2
16,V22,0,0,0,0,1,0,1
18,V24,0,0,0,0,1,0,1
20,V26,0,0,0,0,1,0,1
21,V27,0,0,0,0,1,0,1
22,V28,0,0,0,0,1,0,1
8,V15,0,0,0,0,1,0,1
25,V5,0,0,0,0,1,0,1
26,V6,0,0,0,0,1,0,1
